States,RRP
NSW,102.95
NSW,87.89
NSW,65.0
NSW,61.52
NSW,65.24
NSW,76.72
NSW,76.0
NSW,65.0
NSW,65.0
NSW,61.08
NSW,65.0
NSW,76.72
NSW,76.72
NSW,65.0
NSW,225.6
NSW,61.03
NSW,65.0
NSW,65.0
NSW,57.0
NSW,60.15
NSW,65.0
NSW,71.83
NSW,65.0
NSW,103.05
NSW,102.6
NSW,76.0
NSW,75.8
NSW,35.88
NSW,37.0
NSW,233.3
NSW,57.0
NSW,57.0
NSW,39.61
NSW,37.0
NSW,37.0
NSW,54.69
NSW,35.88
NSW,35.88
NSW,54.35
NSW,37.0
NSW,35.88
NSW,37.0
NSW,37.0
NSW,-39.49
NSW,52.29
NSW,37.0
NSW,-23.0
NSW,-40.51
NSW,13.75
NSW,0.99
NSW,37.0
NSW,0.44
NSW,0.0
NSW,-27.35
NSW,0.0
NSW,0.0
NSW,0.99
NSW,0.99
NSW,10.02
NSW,0.0
NSW,0.99
NSW,39.0
NSW,37.0
NSW,38.53
NSW,7.03
NSW,46.99
NSW,93.89
NSW,95.46
NSW,65.0
NSW,0.99
NSW,37.0
NSW,57.0
NSW,103.96
NSW,57.0
NSW,45.0
NSW,49.23
NSW,48.85
NSW,38.41
NSW,37.64
NSW,0.0
NSW,-1.93
NSW,0.0
NSW,-1.9
NSW,-0.01
NSW,-32.1
NSW,-24.18
NSW,0.0
NSW,33.67
NSW,44.21
NSW,-1.9
NSW,-1.92
NSW,0.0
NSW,9.65
NSW,10.04
NSW,55.47
NSW,55.43
NSW,56.67
NSW,69.99
NSW,74.76
NSW,93.26
NSW,110.1
NSW,91.91
NSW,147.93
NSW,147.06
NSW,140.73
NSW,107.16
NSW,147.67
NSW,121.25
NSW,224.37
NSW,226.26
NSW,282.6
NSW,265.93
NSW,299.98
NSW,208.42
NSW,275.24
NSW,221.05
NSW,211.0
NSW,223.62
NSW,225.02
NSW,222.1
NSW,223.55
NSW,224.0
NSW,225.89
NSW,203.05
NSW,200.51
NSW,198.33
NSW,175.51
NSW,173.39
NSW,164.96
NSW,158.82
NSW,154.69
NSW,165.21
NSW,166.09
NSW,160.3
NSW,160.8
NSW,235.14
NSW,190.6
NSW,142.62
NSW,135.96
NSW,113.95
NSW,111.79
NSW,118.18
NSW,143.91
NSW,150.88
NSW,150.89
NSW,155.97
NSW,154.16
NSW,154.46
NSW,152.47
NSW,147.53
NSW,146.48
NSW,104.52
NSW,94.59
NSW,90.37
NSW,103.72
NSW,115.81
NSW,103.8
NSW,93.24
NSW,105.94
NSW,91.76
NSW,92.96
NSW,107.64
NSW,151.83
NSW,149.54
NSW,104.96
NSW,103.3
NSW,87.89
NSW,89.18
NSW,100.01
NSW,89.91
NSW,89.41
NSW,87.37
NSW,87.89
NSW,87.62
NSW,87.81
NSW,87.81
NSW,76.0
NSW,76.72
NSW,76.72
NSW,89.15
NSW,104.89
NSW,87.3
NSW,75.8
NSW,76.72
NSW,76.0
NSW,69.99
NSW,61.55
NSW,57.93
NSW,61.55
NSW,61.55
NSW,61.55
NSW,70.0
NSW,65.0
NSW,70.0
NSW,65.0
NSW,65.0
NSW,65.0
NSW,76.0
NSW,87.02
NSW,76.0
NSW,76.0
NSW,65.26
NSW,70.0
NSW,70.0
NSW,73.46
NSW,75.8
NSW,73.54
NSW,76.0
NSW,70.0
NSW,76.0
NSW,76.0
NSW,76.72
NSW,76.0
NSW,75.8
NSW,73.21
NSW,74.2
NSW,76.0
NSW,75.8
NSW,75.8
NSW,74.59
NSW,70.0
NSW,75.8
NSW,76.0
NSW,76.0
NSW,76.0
NSW,75.8
NSW,60.66
NSW,75.8
NSW,75.8
NSW,75.8
NSW,75.8
NSW,75.8
NSW,76.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,70.0
NSW,76.0
NSW,76.0
NSW,76.72
NSW,70.0
NSW,75.8
NSW,71.55
NSW,75.8
NSW,76.0
NSW,79.21
NSW,70.0
NSW,70.0
NSW,76.0
NSW,76.0
NSW,76.0
NSW,73.96
NSW,70.0
NSW,74.2
NSW,79.21
NSW,75.8
NSW,56.98
NSW,56.98
NSW,57.0
NSW,56.81
NSW,46.08
NSW,0.54
NSW,0.24
NSW,0.0
NSW,0.0
NSW,-19.63
NSW,-19.54
NSW,0.0
NSW,0.0
NSW,-20.33
NSW,0.0
NSW,65.0
NSW,57.0
NSW,63.32
NSW,76.72
NSW,56.98
NSW,57.0
NSW,57.0
NSW,56.98
NSW,7.63
NSW,45.0
NSW,57.0
NSW,172.58
NSW,76.0
NSW,56.98
NSW,57.0
NSW,45.0
NSW,65.0
NSW,61.55
NSW,56.98
NSW,56.98
NSW,10.02
NSW,37.0
NSW,10.02
NSW,10.02
NSW,237.6
NSW,10.02
NSW,10.02
NSW,-39.71
NSW,10.02
NSW,452.76
NSW,56.98
NSW,28.81
NSW,37.0
NSW,28.77
NSW,15.87
NSW,28.84
NSW,94.92
NSW,43.84
NSW,50.73
NSW,42.43
NSW,28.75
NSW,42.41
NSW,15.87
NSW,37.0
NSW,37.0
NSW,-40.29
NSW,26.74
NSW,-40.64
NSW,65.0
NSW,-39.96
NSW,0.99
NSW,-40.9
NSW,7.93
NSW,37.0
NSW,-40.51
NSW,-35.23
NSW,-40.51
NSW,0.99
NSW,-40.51
NSW,7.93
NSW,-27.37
NSW,-32.66
NSW,7.93
NSW,10.02
NSW,7.93
NSW,-33.17
NSW,10.02
NSW,0.99
NSW,65.0
NSW,37.0
NSW,-40.5
NSW,219.19
NSW,63.35
NSW,65.0
NSW,57.0
NSW,57.0
NSW,15.87
NSW,57.0
NSW,-28.99
NSW,7.93
NSW,56.98
NSW,68.54
NSW,65.0
NSW,57.0
NSW,57.0
NSW,50.08
NSW,57.0
NSW,57.0
NSW,49.25
NSW,48.94
NSW,15.87
NSW,24.62
NSW,0.0
NSW,-7.52
NSW,-30.85
NSW,-35.0
NSW,15.19
NSW,-25.17
NSW,0.0
NSW,0.0
NSW,0.0
NSW,87.61
NSW,10.02
NSW,0.0
NSW,4.88
NSW,43.33
NSW,72.76
NSW,41.13
NSW,33.26
NSW,42.99
NSW,70.08
NSW,69.92
NSW,74.43
NSW,61.55
NSW,68.67
NSW,100.82
NSW,90.37
NSW,103.66
NSW,100.01
NSW,69.99
NSW,118.54
NSW,130.0
NSW,102.72
NSW,130.0
NSW,130.0
NSW,93.74
NSW,93.72
NSW,112.83
NSW,100.01
NSW,130.0
NSW,129.86
NSW,130.0
NSW,130.0
NSW,130.0
NSW,112.67
NSW,113.51
NSW,112.85
NSW,112.89
NSW,115.27
NSW,105.27
NSW,102.75
NSW,103.49
NSW,106.14
NSW,104.89
NSW,103.07
NSW,101.95
NSW,102.6
NSW,103.36
NSW,100.01
NSW,100.79
NSW,98.39
NSW,101.48
NSW,100.01
NSW,100.01
NSW,100.01
NSW,100.01
NSW,100.01
NSW,100.01
NSW,76.0
NSW,85.73
NSW,94.84
NSW,100.01
NSW,100.01
NSW,104.89
NSW,88.95
NSW,100.01
NSW,87.89
NSW,90.42
NSW,89.31
NSW,89.77
NSW,76.0
NSW,75.0
NSW,75.28
NSW,76.0
NSW,100.01
NSW,103.1
NSW,103.94
NSW,100.01
NSW,104.12
NSW,105.45
NSW,106.03
NSW,104.89
NSW,104.89
NSW,100.01
NSW,104.89
NSW,107.0
NSW,104.89
NSW,100.01
NSW,100.01
NSW,103.0
NSW,100.01
NSW,100.01
NSW,113.68
NSW,104.89
NSW,103.0
NSW,101.59
NSW,116.13
NSW,116.98
NSW,114.83
NSW,116.73
NSW,100.55
NSW,117.09
NSW,113.55
NSW,114.44
NSW,113.83
NSW,113.88
NSW,100.29
NSW,100.01
NSW,101.05
NSW,104.89
NSW,103.0
NSW,100.01
NSW,87.5
NSW,87.5
NSW,93.27
NSW,100.01
NSW,103.0
NSW,105.99
NSW,105.38
NSW,113.78
NSW,105.37
NSW,107.01
NSW,99.91
NSW,103.0
NSW,103.0
NSW,93.68
NSW,93.75
NSW,76.0
NSW,77.42
NSW,75.8
NSW,75.8
NSW,76.0
NSW,69.99
NSW,75.8
NSW,77.65
NSW,69.99
NSW,69.99
NSW,76.72
NSW,75.8
NSW,76.0
NSW,76.0
NSW,76.0
NSW,69.99
NSW,69.99
NSW,76.72
NSW,70.0
NSW,75.8
NSW,70.0
NSW,76.0
NSW,75.8
NSW,76.5
NSW,75.8
NSW,63.99
NSW,70.0
NSW,70.0
NSW,76.72
NSW,76.5
NSW,71.21
NSW,70.0
NSW,76.0
NSW,76.0
NSW,76.72
NSW,76.0
NSW,71.74
NSW,75.8
NSW,75.8
NSW,75.8
NSW,70.0
NSW,70.0
NSW,61.55
NSW,57.0
NSW,57.0
NSW,57.0
NSW,45.93
NSW,0.0
NSW,0.0
NSW,-3.93
NSW,-6.44
NSW,-8.85
NSW,-4.85
NSW,-4.85
NSW,-4.88
NSW,3.56
NSW,3.82
NSW,-5.18
NSW,-5.1
NSW,4.6
NSW,7.06
NSW,57.02
NSW,53.7
NSW,61.31
NSW,60.88
NSW,57.0
NSW,57.0
NSW,65.0
NSW,33.56
NSW,-7.21
NSW,57.0
NSW,67.93
NSW,65.0
NSW,57.0
NSW,57.0
NSW,35.75
NSW,51.99
NSW,54.94
NSW,-1.15
NSW,35.74
NSW,35.75
NSW,-51.42
NSW,-49.28
NSW,-45.0
NSW,-49.96
NSW,-50.57
NSW,-50.39
NSW,-45.01
NSW,-51.12
NSW,-51.86
NSW,-51.71
NSW,-50.98
NSW,-51.01
NSW,-44.1
NSW,-50.15
NSW,-51.24
NSW,-43.18
NSW,35.24
NSW,-44.1
NSW,-51.07
NSW,35.22
NSW,-37.3
NSW,10.02
NSW,-33.66
NSW,-44.1
NSW,-50.83
NSW,35.75
NSW,40.23
NSW,0.99
NSW,35.79
NSW,-41.27
NSW,-48.92
NSW,-41.27
NSW,-39.73
NSW,-45.0
NSW,-45.0
NSW,-44.1
NSW,0.99
NSW,45.0
NSW,57.0
NSW,437.08
NSW,56.98
NSW,57.0
NSW,-44.1
NSW,-45.01
NSW,-47.24
NSW,-49.31
NSW,-48.36
NSW,-47.53
NSW,-48.14
NSW,-45.0
NSW,-41.27
NSW,4.43
NSW,4.38
NSW,7.12
NSW,56.98
NSW,7.58
NSW,24.28
NSW,10.02
NSW,12.64
NSW,10.02
NSW,73.24
NSW,78.91
NSW,75.9
NSW,65.0
NSW,14.74
NSW,109.06
NSW,62.18
NSW,86.92
NSW,100.01
NSW,100.01
NSW,65.0
NSW,-8.63
NSW,59.15
NSW,61.68
NSW,2.45
NSW,-36.29
NSW,84.31
NSW,61.49
NSW,35.88
NSW,70.0
NSW,71.61
NSW,0.0
NSW,75.5
NSW,38.91
NSW,57.02
NSW,57.0
NSW,54.4
NSW,49.35
NSW,70.0
NSW,71.49
NSW,76.0
NSW,76.9
NSW,101.77
NSW,77.75
NSW,86.78
NSW,113.66
NSW,130.0
NSW,220.32
NSW,220.97
NSW,76.0
NSW,97.95
NSW,119.23
NSW,130.0
NSW,130.0
NSW,185.42
NSW,130.0
NSW,146.69
